date,sampler_perf/mean_processing_ms,time_since_restore,timesteps_total,info/grad_time_ms,episode_reward_mean,experiment_id,training_iteration,timesteps_since_restore,iterations_since_restore,info/num_steps_trained,info/opt_peak_throughput,info/update_time_ms,hostname,info/sample_peak_throughput,sampler_perf/mean_inference_ms,timestamp,pid,info/sample_time_ms,episodes_total,time_total_s,episode_reward_min,episode_len_mean,episode_reward_max,info/opt_samples,time_this_iter_s,sampler_perf/mean_env_wait_ms,timesteps_this_iter,info/num_steps_sampled,node_ip,episodes_this_iter,done
2019-12-18_10-41-08,0.37492681507822523,9.541007280349731,20302,4.829,-272.1848484848485,39256a2dc336482785ed601076b83d42,24,20302,24,20302,176288.164,0.002,zack-XPS-15-9560,2179.029,0.644018017191584,1576694468,8675,390.679,66,9.541007280349731,-641.0000000000009,71.89393939393939,381.39999999999895,851.3,0.3822665214538574,1.0518482848650854,886,20302,10.142.78.137,2,False
2019-12-18_10-41-09,0.37363701548682277,9.953691720962524,21210,4.859,-282.123188405797,39256a2dc336482785ed601076b83d42,25,21210,25,21210,177744.976,0.001,zack-XPS-15-9560,2280.394,0.6421324723760405,1576694469,8675,378.75,69,9.953691720962524,-641.0000000000009,71.91304347826087,381.39999999999895,863.7,0.41268444061279297,1.0497676051096596,908,21210,10.142.78.137,3,False
2019-12-18_10-41-09,0.37234854830995495,10.273773431777954,21886,4.804,-279.61388888888894,39256a2dc336482785ed601076b83d42,26,21886,26,21886,175441.725,0.002,zack-XPS-15-9560,2268.42,0.640308613326124,1576694469,8675,371.58,72,10.273773431777954,-641.0000000000009,71.91666666666667,381.39999999999895,842.9,0.3200817108154297,1.0474536222609692,676,21886,10.142.78.137,3,False
2019-12-18_10-41-09,0.37109680358374,10.605982065200806,22619,4.791,-282.884,39256a2dc336482785ed601076b83d42,27,22619,27,22619,174670.475,0.002,zack-XPS-15-9560,2269.097,0.6385438335637994,1576694469,8675,368.781,75,10.605982065200806,-641.0000000000009,71.98666666666666,381.39999999999895,836.8,0.33220863342285156,1.0450310608444748,733,22619,10.142.78.137,3,False
2019-12-18_10-41-10,0.37028502798873425,10.970060586929321,23432,4.752,-278.79350649350664,39256a2dc336482785ed601076b83d42,28,23432,28,23432,174586.439,0.002,zack-XPS-15-9560,2260.309,0.6374168842145532,1576694470,8675,367.074,77,10.970060586929321,-641.0000000000009,71.87012987012987,381.39999999999895,829.7,0.3640785217285156,1.0434552696430184,813,23432,10.142.78.137,2,False
2019-12-18_10-41-10,0.3691342344990839,11.345756530761719,24244,4.71,-279.48499999999996,39256a2dc336482785ed601076b83d42,29,24244,29,24244,175397.781,0.001,zack-XPS-15-9560,2262.913,0.6358039698802869,1576694470,8675,365.105,80,11.345756530761719,-641.0000000000009,72.0625,381.39999999999895,826.2,0.37569594383239746,1.0411834533815736,812,24244,10.142.78.137,3,False
2019-12-18_10-41-10,0.368045701265702,11.717986345291138,25075,4.714,-272.7674698795181,39256a2dc336482785ed601076b83d42,30,25075,30,25075,174447.139,0.001,zack-XPS-15-9560,2260.42,0.6342849659162981,1576694470,8675,363.826,83,11.717986345291138,-641.0000000000009,71.87951807228916,381.39999999999895,822.4,0.37222981452941895,1.0390148411765276,831,25075,10.142.78.137,3,False
2019-12-18_10-41-11,0.3670166714460688,12.09934401512146,25926,4.746,-273.63139534883726,39256a2dc336482785ed601076b83d42,31,25926,31,25926,171612.746,0.002,zack-XPS-15-9560,2251.136,0.6328457861193055,1576694471,8675,361.817,86,12.09934401512146,-641.0000000000009,71.90697674418605,381.39999999999895,814.5,0.38135766983032227,1.036995093462321,851,25926,10.142.78.137,3,False
2019-12-18_10-41-11,0.36604833039753054,12.478724718093872,26793,4.735,-274.4191011235955,39256a2dc336482785ed601076b83d42,32,26793,32,26793,173256.904,0.002,zack-XPS-15-9560,2256.567,0.6314944953422491,1576694471,8675,363.517,89,12.478724718093872,-641.0000000000009,71.85393258426966,381.39999999999895,820.3,0.3793807029724121,1.0350796719833417,867,26793,10.142.78.137,3,False
2019-12-18_10-41-12,0.36538453966159895,12.789428234100342,27448,4.638,-268.81428571428575,39256a2dc336482785ed601076b83d42,33,27448,33,27448,173195.74,0.002,zack-XPS-15-9560,2244.225,0.6306205962446952,1576694472,8675,357.896,91,12.789428234100342,-641.0000000000009,71.81318681318682,381.39999999999895,803.2,0.3107035160064697,1.0336936382662074,655,27448,10.142.78.137,2,False
