iterations_since_restore,node_ip,timestamp,date,episode_reward_min,episode_reward_max,hostname,sampler_perf/mean_processing_ms,info/grad_time_ms,info/sample_time_ms,episodes_this_iter,info/num_steps_sampled,info/update_time_ms,pid,sampler_perf/mean_inference_ms,info/opt_peak_throughput,info/sample_peak_throughput,episode_reward_mean,training_iteration,info/opt_samples,episodes_total,experiment_id,done,time_this_iter_s,timesteps_since_restore,info/num_steps_trained,sampler_perf/mean_env_wait_ms,time_since_restore,timesteps_total,timesteps_this_iter,time_total_s,episode_len_mean
23,10.142.78.137,1576701918,2019-12-18_12-45-18,-1066.7000000000028,-35.000000000002416,zack-XPS-15-9560,0.5145304559129944,7.723,407.568,3,31024,0.001,17248,0.7082320528949945,176073.702,3336.375,-497.34516129032346,23,1359.8,62,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.44373178482055664,31024,31024,0.9885444226903156,9.719356775283813,31024,1497,9.719356775283813,74.11290322580645
24,10.142.78.137,1576701919,2019-12-18_12-45-19,-1066.7000000000028,-35.000000000002416,zack-XPS-15-9560,0.513593049322346,7.807,409.698,2,32481,0.001,17248,0.7061205650331471,175780.925,3349.786,-505.3890625000008,24,1372.4,64,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.4388101100921631,32481,32481,0.9869081330049297,10.158166885375977,32481,1457,10.158166885375977,74.234375
25,10.142.78.137,1576701919,2019-12-18_12-45-19,-1066.7000000000028,-35.000000000002416,zack-XPS-15-9560,0.5123218562701394,7.862,413.478,3,33923,0.001,17248,0.7031720864964583,177320.314,3371.642,-505.8313432835828,25,1394.1,67,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.42584943771362305,33923,33923,0.9846621410549486,10.5840163230896,33923,1442,10.5840163230896,74.08955223880596
26,10.142.78.137,1576701919,2019-12-18_12-45-19,-1066.7000000000028,-35.000000000002416,zack-XPS-15-9560,0.5111865125673878,7.848,414.215,3,35307,0.001,17248,0.7004733614100731,177462.987,3362.265,-506.35285714285783,26,1392.7,70,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.4276871681213379,35307,35307,0.9826357156230829,11.011703491210938,35307,1384,11.011703491210938,74.05714285714286
27,10.142.78.137,1576701920,2019-12-18_12-45-20,-1066.7000000000028,-35.000000000002416,zack-XPS-15-9560,0.5105040518338455,7.834,415.315,2,36796,0.001,17248,0.6988164942858973,177686.343,3351.673,-510.59166666666744,27,1392.0,72,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.44720959663391113,36796,36796,0.9814671411113167,11.458913087844849,36796,1489,11.458913087844849,74.18055555555556
28,10.142.78.137,1576701920,2019-12-18_12-45-20,-1066.7000000000028,-35.000000000002416,zack-XPS-15-9560,0.5095727956673393,7.866,417.962,3,38275,0.001,17248,0.696458176675891,178634.392,3361.787,-508.272000000001,28,1405.1,75,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.4281606674194336,38275,38275,0.9798808742665683,11.887073755264282,38275,1479,11.887073755264282,74.21333333333334
29,10.142.78.137,1576701921,2019-12-18_12-45-21,-1066.7000000000028,-35.000000000002416,zack-XPS-15-9560,0.5086671004285659,7.812,416.189,3,39524,0.001,17248,0.6942287440402676,178381.344,3348.48,-500.81410256410356,29,1393.6,78,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.39179158210754395,39524,39524,0.9783119633455782,12.278865337371826,39524,1249,12.278865337371826,74.2051282051282
30,10.142.78.137,1576701921,2019-12-18_12-45-21,-1066.7000000000028,-35.000000000002416,zack-XPS-15-9560,0.5081243413591945,7.892,420.155,2,41010,0.001,17248,0.6928184031959475,179441.089,3370.419,-507.14750000000095,30,1416.1,80,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.4438209533691406,41010,41010,0.9774136763305401,12.722686290740967,41010,1486,12.722686290740967,74.3
31,10.142.78.137,1576701922,2019-12-18_12-45-22,-1066.7000000000028,-35.000000000002416,zack-XPS-15-9560,0.5073728136286457,7.884,419.341,3,42380,0.001,17248,0.6908344207388744,179296.884,3370.768,-507.5325301204829,31,1413.5,83,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.4252798557281494,42380,42380,0.9761442213341878,13.147966146469116,42380,1370,13.147966146469116,74.3012048192771
32,10.142.78.137,1576701922,2019-12-18_12-45-22,-1066.7000000000028,-35.000000000002416,zack-XPS-15-9560,0.5066577692451556,7.87,419.494,3,43700,0.001,17248,0.6889723933458639,180087.159,3378.59,-507.90697674418703,32,1417.3,86,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.40703248977661133,43700,43700,0.9749120633583895,13.554998636245728,43700,1320,13.554998636245728,74.37209302325581
33,10.142.78.137,1576701922,2019-12-18_12-45-22,-1066.7000000000028,-35.000000000002416,zack-XPS-15-9560,0.5062281847190646,7.886,419.468,2,45195,0.001,17248,0.687800911379893,179690.492,3378.325,-504.26704545454646,33,1417.1,88,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.44370293617248535,45195,45195,0.9741881933296216,13.998701572418213,45195,1495,13.998701572418213,74.36363636363636
34,10.142.78.137,1576701923,2019-12-18_12-45-23,-1066.7000000000028,-35.000000000002416,zack-XPS-15-9560,0.5056506768330534,7.861,418.889,3,46644,0.001,17248,0.6861177125006083,180171.326,3381.085,-513.7175824175835,34,1416.3,91,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.43289613723754883,46644,46644,0.9731992944887066,14.431597709655762,46644,1449,14.431597709655762,74.43956043956044
35,10.142.78.137,1576701923,2019-12-18_12-45-23,-1066.7000000000028,-35.000000000002416,zack-XPS-15-9560,0.5050816792964088,7.846,415.456,3,47877,0.001,17248,0.6845155765062447,177849.175,3358.717,-513.7521276595754,35,1395.4,94,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.3915128707885742,47877,47877,0.97218310283521,14.823110580444336,47877,1233,14.823110580444336,74.45744680851064
36,10.142.78.137,1576701924,2019-12-18_12-45-24,-1066.7000000000028,-35.000000000002416,zack-XPS-15-9560,0.5046818280620006,7.751,410.373,2,49029,0.001,17248,0.6834962845924931,177034.406,3343.79,-512.2656250000009,36,1372.2,96,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.3759574890136719,49029,49029,0.9714572789060982,15.199068069458008,49029,1152,15.199068069458008,74.48958333333333
37,10.142.78.137,1576701924,2019-12-18_12-45-24,-1066.7000000000028,568.6999999999978,zack-XPS-15-9560,0.5040872859627724,7.694,404.993,3,50319,0.001,17248,0.6820208968607668,175760.741,3339.07,-497.9949494949505,37,1352.3,99,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.3929123878479004,50319,50319,0.9703575548671637,15.591980457305908,50319,1290,15.591980457305908,74.42424242424242
38,10.142.78.137,1576701925,2019-12-18_12-45-25,-1066.7000000000028,568.6999999999978,zack-XPS-15-9560,0.4978802649244651,7.773,407.833,3,51891,0.001,17248,0.6694046656181142,175161.463,3338.622,-509.8960000000011,38,1361.6,102,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.45735859870910645,51891,51891,0.9592581195131946,16.049339056015015,51891,1572,16.049339056015015,74.56
