episodes_this_iter,info/num_steps_sampled,timesteps_this_iter,sampler_perf/mean_processing_ms,episodes_total,iterations_since_restore,episode_reward_mean,timestamp,sampler_perf/mean_env_wait_ms,training_iteration,time_total_s,episode_reward_min,info/opt_samples,info/sample_time_ms,time_this_iter_s,timesteps_since_restore,sampler_perf/mean_inference_ms,pid,time_since_restore,info/num_steps_trained,episode_reward_max,timesteps_total,done,info/grad_time_ms,info/opt_peak_throughput,hostname,info/update_time_ms,date,info/sample_peak_throughput,node_ip,episode_len_mean,experiment_id
3,38798,1358,0.9769385026859071,79,29,-437.6126582278493,1576702760,1.8334740642146514,29,24.93488097190857,-862.4000000000003,1356.9,876.093,0.8934245109558105,38798,1.2885153887456855,17939,24.93488097190857,38798,168.09999999999764,38798,False,15.013,90379.353,zack-XPS-15-9560,0.003,2019-12-18_12-59-20,1548.807,10.142.78.137,72.9620253164557,597e19b796dc436bb6e93311fa9df381
3,40112,1314,0.9778895252878835,82,30,-428.0524390243915,1576702761,1.835891686869741,30,25.8073468208313,-862.4000000000003,1352.1,873.532,0.8724658489227295,40112,1.2889158827715503,17939,25.8073468208313,40112,168.09999999999764,40112,False,14.91,90685.515,zack-XPS-15-9560,0.003,2019-12-18_12-59-21,1547.853,10.142.78.137,72.76829268292683,597e19b796dc436bb6e93311fa9df381
3,41580,1468,0.9788995838235859,85,31,-433.64705882353076,1576702762,1.8383558327769074,31,26.731189489364624,-862.4000000000003,1333.6,860.741,0.9238426685333252,41580,1.2893135586782565,17939,26.731189489364624,41580,168.09999999999764,41580,False,14.603,91322.689,zack-XPS-15-9560,0.003,2019-12-18_12-59-22,1549.363,10.142.78.137,72.78823529411764,597e19b796dc436bb6e93311fa9df381
2,42844,1264,0.9794953518441448,87,32,-431.61149425287505,1576702762,1.8398688972742585,32,27.566410541534424,-862.4000000000003,1338.7,862.078,0.8352210521697998,42844,1.2895486228123711,17939,27.566410541534424,42844,168.09999999999764,42844,False,14.629,91507.588,zack-XPS-15-9560,0.003,2019-12-18_12-59-22,1552.876,10.142.78.137,72.7816091954023,597e19b796dc436bb6e93311fa9df381
3,44432,1588,0.9804947405748666,90,33,-439.0877777777791,1576702763,1.8424241904961194,33,28.55350160598755,-865.3000000000008,1368.5,874.421,0.987091064453125,44432,1.2899383049252227,17939,28.55350160598755,44432,168.09999999999764,44432,False,15.05,90929.188,zack-XPS-15-9560,0.003,2019-12-18_12-59-23,1565.036,10.142.78.137,72.87777777777778,597e19b796dc436bb6e93311fa9df381
3,45737,1305,0.9814431417559905,93,34,-432.9053763440873,1576702764,1.8448044156828294,34,29.418710947036743,-865.3000000000008,1372.4,876.638,0.8652093410491943,45737,1.290310939240545,17939,29.418710947036743,45737,168.09999999999764,45737,False,15.092,90934.354,zack-XPS-15-9560,0.003,2019-12-18_12-59-24,1565.527,10.142.78.137,72.87096774193549,597e19b796dc436bb6e93311fa9df381
3,46705,968,0.9821553711404901,96,35,-420.49479166666805,1576702765,1.8466061573641535,35,30.134226083755493,-865.3000000000008,1337.9,861.467,0.71551513671875,46705,1.2906228725289346,17939,30.134226083755493,46705,168.09999999999764,46705,False,14.798,90411.319,zack-XPS-15-9560,0.003,2019-12-18_12-59-25,1553.048,10.142.78.137,72.84375,597e19b796dc436bb6e93311fa9df381
2,47999,1294,0.9825861694215794,98,36,-420.98673469387893,1576702766,1.847768931217297,36,30.999117136001587,-865.3000000000008,1330.0,858.241,0.8648910522460938,47999,1.2908321173096151,17939,30.999117136001587,47999,168.09999999999764,47999,False,14.785,89954.419,zack-XPS-15-9560,0.003,2019-12-18_12-59-26,1549.681,10.142.78.137,72.90816326530613,597e19b796dc436bb6e93311fa9df381
3,49374,1375,0.9837848254551497,101,37,-417.6420000000014,1576702767,1.8532611958328615,37,31.895612239837646,-865.3000000000008,1323.3,854.972,0.8964951038360596,49374,1.290497774593141,17939,31.895612239837646,49374,168.09999999999764,49374,False,14.787,89488.855,zack-XPS-15-9560,0.003,2019-12-18_12-59-27,1547.77,10.142.78.137,72.94,597e19b796dc436bb6e93311fa9df381
3,50632,1258,0.9853964177920796,104,38,-411.7680000000015,1576702768,1.8625136939529918,38,32.74498200416565,-865.3000000000008,1319.2,854.463,0.8493697643280029,50632,1.2903177893452675,17939,32.74498200416565,50632,168.09999999999764,50632,False,14.724,89598.022,zack-XPS-15-9560,0.003,2019-12-18_12-59-28,1543.893,10.142.78.137,73.07,597e19b796dc436bb6e93311fa9df381
