episode_reward_min,episodes_this_iter,pid,time_since_restore,episode_reward_mean,info/opt_samples,iterations_since_restore,sampler_perf/mean_inference_ms,hostname,timesteps_since_restore,date,episode_reward_max,info/grad_time_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_env_wait_ms,info/sample_time_ms,done,experiment_id,training_iteration,timesteps_this_iter,info/update_time_ms,node_ip,timesteps_total,info/opt_peak_throughput,time_this_iter_s,info/sample_peak_throughput,info/num_steps_trained,episodes_total,timestamp,info/num_steps_sampled,time_total_s,episode_len_mean
-1064.7000000000012,3,14922,17.282576084136963,-443.4750000000012,1293.4,42,0.6743474509316992,zack-XPS-15-9560,55505,2019-12-18_12-02-37,363.79999999999654,7.591,0.5032413488704881,0.8461525001020732,394.611,False,e67fcb214a7042fc9e167725570fecfb,42,1343,0.002,10.142.78.137,55505,170376.681,0.41430044174194336,3277.655,55505,114,1576699357,55505,17.282576084136963,73.53
-1064.7000000000012,2,14922,17.714057683944702,-439.5920000000013,1312.0,43,0.6738569801004098,zack-XPS-15-9560,57009,2019-12-18_12-02-38,363.79999999999654,7.585,0.5032684609115459,0.8462871684066664,398.929,False,e67fcb214a7042fc9e167725570fecfb,43,1504,0.002,10.142.78.137,57009,172973.494,0.43148159980773926,3288.804,57009,116,1576699358,57009,17.714057683944702,73.55
-1065.1000000000013,3,14922,18.15935707092285,-453.9980000000012,1345.3,44,0.673485419267264,zack-XPS-15-9560,58555,2019-12-18_12-02-38,363.79999999999654,7.939,0.503544992578833,0.846941907365188,406.889,False,e67fcb214a7042fc9e167725570fecfb,44,1546,0.002,10.142.78.137,58555,169454.996,0.4452993869781494,3306.306,58555,119,1576699358,58555,18.15935707092285,73.61
-1065.1000000000013,3,14922,18.567682027816772,-454.04600000000113,1355.0,45,0.6731183141436127,zack-XPS-15-9560,59878,2019-12-18_12-02-39,363.79999999999654,7.977,0.5036436077041183,0.847398227779512,409.71,False,e67fcb214a7042fc9e167725570fecfb,45,1323,0.002,10.142.78.137,59878,169865.708,0.4083249568939209,3307.219,59878,122,1576699359,59878,18.567682027816772,73.65
-1065.1000000000013,2,14922,18.99069571495056,-460.20100000000116,1366.8,46,0.67284753722886,zack-XPS-15-9560,61403,2019-12-18_12-02-39,363.79999999999654,8.07,0.503681866171948,0.8476921431562616,409.936,False,e67fcb214a7042fc9e167725570fecfb,46,1525,0.002,10.142.78.137,61403,169377.704,0.42301368713378906,3334.18,61403,124,1576699359,61403,18.99069571495056,73.71
-1065.1000000000013,3,14922,19.39714765548706,-454.11000000000115,1379.5,47,0.6724679834255274,zack-XPS-15-9560,62767,2019-12-18_12-02-40,363.79999999999654,8.165,0.5036451881046294,0.8479006135004554,412.59,False,e67fcb214a7042fc9e167725570fecfb,47,1364,0.002,10.142.78.137,62767,168957.249,0.406451940536499,3343.512,62767,127,1576699360,62767,19.39714765548706,73.71
-1065.1000000000013,3,14922,19.765036821365356,-455.9820000000012,1379.4,48,0.6720602922809786,zack-XPS-15-9560,63938,2019-12-18_12-02-40,363.79999999999654,8.206,0.5035345234110357,0.8478436276978689,400.397,False,e67fcb214a7042fc9e167725570fecfb,48,1171,0.001,10.142.78.137,63938,168097.289,0.3678891658782959,3445.079,63938,130,1576699360,63938,19.765036821365356,73.82
-1065.1000000000013,2,14922,20.140648126602173,-447.8380000000013,1369.5,49,0.6717437240207568,zack-XPS-15-9560,65192,2019-12-18_12-02-40,363.79999999999654,8.237,0.5033955317029797,0.8476715419735119,399.319,False,e67fcb214a7042fc9e167725570fecfb,49,1254,0.001,10.142.78.137,65192,166252.759,0.3756113052368164,3429.589,65192,132,1576699360,65192,20.140648126602173,73.8
-1065.1000000000013,3,14922,20.54438877105713,-452.06200000000115,1375.8,50,0.6712050274140644,zack-XPS-15-9560,66592,2019-12-18_12-02-41,363.79999999999654,8.255,0.5031843877802499,0.8476779069423068,398.253,False,e67fcb214a7042fc9e167725570fecfb,50,1400,0.001,10.142.78.137,66592,166652.904,0.40374064445495605,3454.586,66592,135,1576699361,66592,20.54438877105713,73.74
-1065.1000000000013,3,14922,20.945438146591187,-433.9110000000013,1375.4,51,0.6705428347434118,zack-XPS-15-9560,67916,2019-12-18_12-02-41,363.79999999999654,8.211,0.5029664731572326,0.847560331510018,398.837,False,e67fcb214a7042fc9e167725570fecfb,51,1324,0.001,10.142.78.137,67916,167500.34,0.4010493755340576,3448.527,67916,138,1576699361,67916,20.945438146591187,73.66
