episodes_total,timesteps_total,time_this_iter_s,info/num_steps_sampled,timesteps_since_restore,iterations_since_restore,episodes_this_iter,sampler_perf/mean_env_wait_ms,info/opt_samples,sampler_perf/mean_processing_ms,time_since_restore,date,training_iteration,info/sample_time_ms,info/num_steps_trained,time_total_s,episode_len_mean,info/opt_peak_throughput,episode_reward_mean,info/grad_time_ms,sampler_perf/mean_inference_ms,episode_reward_max,hostname,info/sample_peak_throughput,info/update_time_ms,timestamp,pid,node_ip,episode_reward_min,timesteps_this_iter,experiment_id,done
73,21265,0.30178165435791016,21265,21265,26,3,0.704833476692775,795.8,0.3105832573512961,8.442312240600586,2019-12-18_11-10-26,26,313.307,21265,8.442312240600586,71.0,167937.607,-261.2671232876714,4.739,0.5726215054252057,186.19999999999976,zack-XPS-15-9560,2540.004,0.001,1576696226,11562,10.142.78.137,-640.2000000000005,718,c3fc92d7f4874dea9e1921f76f825b97,False
76,22020,0.29536986351013184,22020,22020,27,3,0.7048530624507838,774.5,0.3105028131004036,8.737682104110718,2019-12-18_11-10-26,27,307.51,22020,8.737682104110718,70.86842105263158,168302.383,-259.8421052631579,4.602,0.5724208987521225,186.19999999999976,zack-XPS-15-9560,2518.615,0.001,1576696226,11562,10.142.78.137,-640.2000000000005,755,c3fc92d7f4874dea9e1921f76f825b97,False
79,22821,0.3116319179534912,22821,22821,28,3,0.7048356364167172,768.9,0.3104134621638109,9.049314022064209,2019-12-18_11-10-26,28,305.274,22821,9.049314022064209,70.86075949367088,169607.423,-256.120253164557,4.533,0.5722150770262329,186.19999999999976,zack-XPS-15-9560,2518.718,0.001,1576696226,11562,10.142.78.137,-640.2000000000005,801,c3fc92d7f4874dea9e1921f76f825b97,False
81,23678,0.3268404006958008,23678,23678,29,2,0.7048486351598691,776.8,0.31035363658170534,9.37615442276001,2019-12-18_11-10-27,29,303.992,23678,9.37615442276001,70.95061728395062,170574.072,-255.514814814815,4.554,0.5720860759780325,186.19999999999976,zack-XPS-15-9560,2555.329,0.001,1576696227,11562,10.142.78.137,-640.2000000000005,857,c3fc92d7f4874dea9e1921f76f825b97,False
84,24426,0.3020937442779541,24426,24426,30,3,0.7047984151945121,774.8,0.31024537184195344,9.678248167037964,2019-12-18_11-10-27,30,304.096,24426,9.678248167037964,70.98809523809524,167786.019,-256.8333333333335,4.618,0.5718755647459236,186.19999999999976,zack-XPS-15-9560,2547.878,0.001,1576696227,11562,10.142.78.137,-640.2000000000005,748,c3fc92d7f4874dea9e1921f76f825b97,False
87,25144,0.3023815155029297,25144,25144,31,3,0.7046741343299153,770.7,0.31011423311333935,9.980629682540894,2019-12-18_11-10-27,31,304.9,25144,9.980629682540894,70.95402298850574,167954.345,-253.41149425287375,4.589,0.5716851822477083,186.19999999999976,zack-XPS-15-9560,2527.715,0.001,1576696227,11562,10.142.78.137,-640.2000000000005,718,c3fc92d7f4874dea9e1921f76f825b97,False
91,25875,0.3126561641693115,25875,25875,32,4,0.7044837700127884,765.8,0.30994657658998964,10.293285846710205,2019-12-18_11-10-27,32,305.486,25875,10.293285846710205,70.2967032967033,168889.859,-256.3857142857144,4.534,0.5714400488300195,186.19999999999976,zack-XPS-15-9560,2506.828,0.001,1576696227,11562,10.142.78.137,-640.2000000000005,731,c3fc92d7f4874dea9e1921f76f825b97,False
94,26742,0.32511448860168457,26742,26742,33,3,0.7043755240385031,771.1,0.3098342346991885,10.61840033531189,2019-12-18_11-10-28,33,304.218,26742,10.61840033531189,69.86170212765957,172048.952,-246.7978723404257,4.482,0.5712636003249294,586.6999999999999,zack-XPS-15-9560,2534.696,0.001,1576696228,11562,10.142.78.137,-640.2000000000005,867,c3fc92d7f4874dea9e1921f76f825b97,False
97,27621,0.32472777366638184,27621,27621,34,3,0.7043020271436445,789.4,0.30973880228541434,10.943128108978271,2019-12-18_11-10-28,34,306.844,27621,10.943128108978271,70.0,174404.571,-250.49381443298975,4.526,0.5710774575179263,586.6999999999999,zack-XPS-15-9560,2572.64,0.001,1576696228,11562,10.142.78.137,-640.2000000000005,879,c3fc92d7f4874dea9e1921f76f825b97,False
99,28532,0.354874849319458,28532,28532,35,2,0.7043227017728885,798.5,0.30968813472435824,11.29800295829773,2019-12-18_11-10-28,35,310.642,28532,11.29800295829773,70.15151515151516,175256.502,-254.20909090909095,4.556,0.5709786503846597,586.6999999999999,zack-XPS-15-9560,2570.486,0.001,1576696228,11562,10.142.78.137,-640.2000000000005,911,c3fc92d7f4874dea9e1921f76f825b97,False
102,29431,0.3305799961090088,29431,29431,36,3,0.7021466989604497,816.6,0.3086147332722851,11.628582954406738,2019-12-18_11-10-29,36,313.391,29431,11.628582954406738,70.28,174405.817,-254.055,4.682,0.5693609977885509,586.6999999999999,zack-XPS-15-9560,2605.69,0.001,1576696229,11562,10.142.78.137,-640.2000000000005,899,c3fc92d7f4874dea9e1921f76f825b97,False
105,30260,0.32018208503723145,30260,30260,37,3,0.7015988872364981,824.0,0.3081689605389915,11.94876503944397,2019-12-18_11-10-29,37,315.835,30260,11.94876503944397,70.22,174897.979,-254.10100000000003,4.711,0.5685379230982267,586.6999999999999,zack-XPS-15-9560,2608.957,0.001,1576696229,11562,10.142.78.137,-640.2000000000005,829,c3fc92d7f4874dea9e1921f76f825b97,False
108,31090,0.3237488269805908,31090,31090,38,3,0.7017319918956813,826.9,0.30807552409961525,12.27251386642456,2019-12-18_11-10-29,38,316.699,31090,12.27251386642456,70.1,163539.784,-260.133,5.056,0.568106280575191,586.6999999999999,zack-XPS-15-9560,2611.0,0.001,1576696229,11562,10.142.78.137,-640.2000000000005,830,c3fc92d7f4874dea9e1921f76f825b97,False
110,31770,0.28273534774780273,31770,31770,39,2,0.7021657727494435,809.2,0.3082502556095878,12.555249214172363,2019-12-18_11-10-30,39,312.393,31770,12.555249214172363,70.12,163617.426,-260.156,4.946,0.5679261308930336,586.6999999999999,zack-XPS-15-9560,2590.324,0.001,1576696230,11562,10.142.78.137,-640.2000000000005,680,c3fc92d7f4874dea9e1921f76f825b97,False
113,32590,0.48537588119506836,32590,32590,40,3,0.7034187997802048,816.4,0.3087301406266966,13.040625095367432,2019-12-18_11-10-30,40,330.725,32590,13.040625095367432,70.03,165258.865,-254.14100000000005,4.94,0.5679380562105095,586.6999999999999,zack-XPS-15-9560,2468.52,0.001,1576696230,11562,10.142.78.137,-640.2000000000005,820,c3fc92d7f4874dea9e1921f76f825b97,False
116,33389,0.31218719482421875,33389,33389,41,3,0.7043549491936727,824.5,0.30904110763008313,13.35281229019165,2019-12-18_11-10-31,41,331.604,33389,13.35281229019165,70.11,164525.158,-252.1060000000001,5.011,0.5679444394755362,586.6999999999999,zack-XPS-15-9560,2486.399,0.001,1576696231,11562,10.142.78.137,-640.2000000000005,799,c3fc92d7f4874dea9e1921f76f825b97,False
119,34142,0.296663761138916,34142,34142,42,3,0.7054155287709155,826.7,0.30914503512398467,13.649476051330566,2019-12-18_11-10-31,42,329.984,34142,13.649476051330566,70.11,164389.323,-258.096,5.029,0.568078648434674,586.6999999999999,zack-XPS-15-9560,2505.272,0.001,1576696231,11562,10.142.78.137,-640.2000000000005,753,c3fc92d7f4874dea9e1921f76f825b97,False
121,34800,0.2895777225494385,34800,34800,43,2,0.706162560038373,805.8,0.3092501262238452,13.939053773880005,2019-12-18_11-10-31,43,326.463,34800,13.939053773880005,70.19,161406.441,-252.01800000000006,4.992,0.5681477634911635,586.6999999999999,zack-XPS-15-9560,2468.272,0.001,1576696231,11562,10.142.78.137,-640.2000000000005,658,c3fc92d7f4874dea9e1921f76f825b97,False
124,35608,0.33084774017333984,35608,35608,44,3,0.7073418601803175,798.7,0.309479258771124,14.269901514053345,2019-12-18_11-10-31,44,326.672,35608,14.269901514053345,70.18,148015.509,-252.01300000000006,5.396,0.5682181777179851,586.6999999999999,zack-XPS-15-9560,2444.961,0.001,1576696231,11562,10.142.78.137,-640.2000000000005,808,c3fc92d7f4874dea9e1921f76f825b97,False
127,36460,0.32704973220825195,36460,36460,45,3,0.7082312022842128,792.8,0.30962317590098815,14.596951246261597,2019-12-18_11-10-32,45,323.94,36460,14.596951246261597,70.69,148369.581,-258.254,5.343,0.5683149339565028,586.6999999999999,zack-XPS-15-9560,2447.367,0.001,1576696232,11562,10.142.78.137,-640.2000000000005,852,c3fc92d7f4874dea9e1921f76f825b97,False
130,37345,0.32796311378479004,37345,37345,46,3,0.7089978767954423,791.4,0.30972848919200086,14.924914360046387,2019-12-18_11-10-32,46,323.706,37345,14.924914360046387,70.59,148874.804,-248.18100000000007,5.316,0.568420337974225,586.6999999999999,zack-XPS-15-9560,2444.815,0.001,1576696232,11562,10.142.78.137,-640.2000000000005,885,c3fc92d7f4874dea9e1921f76f825b97,False
132,38252,0.3390655517578125,38252,38252,47,2,0.7094186475473262,799.2,0.30978156505440024,15.2639799118042,2019-12-18_11-10-32,47,325.578,38252,15.2639799118042,70.64,149806.613,-250.24300000000002,5.335,0.5685132821720708,586.6999999999999,zack-XPS-15-9560,2454.712,0.001,1576696232,11562,10.142.78.137,-640.2000000000005,907,c3fc92d7f4874dea9e1921f76f825b97,False
135,39137,0.3344855308532715,39137,39137,48,3,0.7099627382625229,804.7,0.3098640539559599,15.59846544265747,2019-12-18_11-10-33,48,326.923,39137,15.59846544265747,70.71,159144.687,-250.25000000000003,5.056,0.5686698826684866,586.6999999999999,zack-XPS-15-9560,2461.435,0.001,1576696233,11562,10.142.78.137,-640.2000000000005,885,c3fc92d7f4874dea9e1921f76f825b97,False
138,39962,0.3314671516418457,39962,39962,49,3,0.7101513249165801,819.2,0.30983809720402294,15.929932594299316,2019-12-18_11-10-33,49,331.644,39962,15.929932594299316,70.7,157242.013,-250.14800000000005,5.21,0.5687947069887209,586.6999999999999,zack-XPS-15-9560,2470.116,0.001,1576696233,11562,10.142.78.137,-640.2000000000005,825,c3fc92d7f4874dea9e1921f76f825b97,False
141,40809,0.32289934158325195,40809,40809,50,3,0.7099670704832615,821.9,0.3096765697860646,16.25283193588257,2019-12-18_11-10-33,50,315.403,40809,16.25283193588257,70.63,157967.019,-245.975,5.203,0.5688205451054593,586.6999999999999,zack-XPS-15-9560,2605.876,0.001,1576696233,11562,10.142.78.137,-639.6000000000007,847,c3fc92d7f4874dea9e1921f76f825b97,False
144,41663,0.3262970447540283,41663,41663,51,3,0.7097428006990378,827.4,0.30950408442397903,16.579128980636597,2019-12-18_11-10-34,51,316.799,41663,16.579128980636597,70.67,157913.358,-248.02200000000005,5.24,0.5688276652977587,586.6999999999999,zack-XPS-15-9560,2611.752,0.001,1576696234,11562,10.142.78.137,-639.6000000000007,854,c3fc92d7f4874dea9e1921f76f825b97,False
147,42597,0.3611454963684082,42597,42597,52,3,0.7094898746792532,845.5,0.30932659239557425,16.940274477005005,2019-12-18_11-10-34,52,323.125,42597,16.940274477005005,70.63,157711.456,-250.00900000000004,5.361,0.5688613701121361,586.6999999999999,zack-XPS-15-9560,2616.638,0.001,1576696234,11562,10.142.78.137,-639.6000000000007,934,c3fc92d7f4874dea9e1921f76f825b97,False
149,43364,0.3100013732910156,43364,43364,53,2,0.7092519175607971,856.4,0.3091848952211267,17.25027585029602,2019-12-18_11-10-34,53,325.168,43364,17.25027585029602,70.81,159675.047,-254.086,5.363,0.5688788254119619,586.6999999999999,zack-XPS-15-9560,2633.719,0.001,1576696234,11562,10.142.78.137,-639.6000000000007,767,c3fc92d7f4874dea9e1921f76f825b97,False
152,44114,0.3016974925994873,44114,44114,54,3,0.708831097211055,850.6,0.30894507934569754,17.551973342895508,2019-12-18_11-10-35,54,322.68,44114,17.551973342895508,70.67,172416.417,-243.82700000000008,4.933,0.5688495288447214,586.6999999999999,zack-XPS-15-9560,2636.046,0.001,1576696235,11562,10.142.78.137,-639.6000000000007,750,c3fc92d7f4874dea9e1921f76f825b97,False
155,44976,0.34067702293395996,44976,44976,55,3,0.708521586464431,851.6,0.30873349151395685,17.892650365829468,2019-12-18_11-10-35,55,324.0,44976,17.892650365829468,70.73,171041.143,-249.96300000000002,4.979,0.5688354911944096,586.6999999999999,zack-XPS-15-9560,2628.395,0.001,1576696235,11562,10.142.78.137,-640.6000000000001,862,c3fc92d7f4874dea9e1921f76f825b97,False
