timesteps_this_iter,info/opt_peak_throughput,done,episode_reward_max,episode_len_mean,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_env_wait_ms,info/sample_time_ms,info/opt_samples,timesteps_total,hostname,info/num_steps_sampled,info/update_time_ms,timesteps_since_restore,timestamp,training_iteration,episodes_this_iter,time_this_iter_s,iterations_since_restore,episode_reward_min,date,time_total_s,time_since_restore,pid,episode_reward_mean,info/num_steps_trained,experiment_id,episodes_total,info/grad_time_ms,node_ip,info/sample_peak_throughput
1393,172353.945,False,363.69999999999663,73.5925925925926,0.4744154976957978,0.6973731812488971,0.911123788560809,397.548,1299.9,39620,zack-XPS-15-9560,39620,0.001,39620,1576698660,30,3,0.4697840213775635,30,-1059.0999999999985,2019-12-18_11-51-00,12.371000528335571,12.371000528335571,14336,-482.085185185186,39620,a9b21437e7334a98a7a8412aedf56ff3,81,7.542,10.142.78.137,3269.792
1344,172609.469,False,363.69999999999663,73.6987951807229,0.47425812111186155,0.6959294576398762,0.9108767668349561,400.139,1317.7,40964,zack-XPS-15-9560,40964,0.001,40964,1576698660,31,2,0.39208030700683594,31,-1059.0999999999985,2019-12-18_11-51-00,12.763080835342407,12.763080835342407,14336,-486.19156626506094,40964,a9b21437e7334a98a7a8412aedf56ff3,83,7.634,10.142.78.137,3293.103
1449,171748.705,False,363.69999999999663,73.79069767441861,0.4740533985617433,0.6938301318189763,0.9105916024901287,399.375,1321.8,42413,zack-XPS-15-9560,42413,0.001,42413,1576698661,32,3,0.41519975662231445,32,-1059.0999999999985,2019-12-18_11-51-01,13.178280591964722,13.178280591964722,14336,-494.27558139534966,42413,a9b21437e7334a98a7a8412aedf56ff3,86,7.696,10.142.78.137,3309.671
1360,171622.51,False,363.69999999999663,73.78651685393258,0.47386953828700873,0.6918485443589214,0.9103338765924951,401.246,1330.6,43773,zack-XPS-15-9560,43773,0.001,43773,1576698661,33,3,0.40940308570861816,33,-1059.0999999999985,2019-12-18_11-51-01,13.58768367767334,13.58768367767334,14336,-495.04157303370863,43773,a9b21437e7334a98a7a8412aedf56ff3,89,7.753,10.142.78.137,3316.166
1342,171373.819,False,363.69999999999663,73.79347826086956,0.47371232716707384,0.6899950903477587,0.9101215000195362,402.969,1330.2,45115,zack-XPS-15-9560,45115,0.001,45115,1576698661,34,3,0.4192068576812744,34,-1059.0999999999985,2019-12-18_11-51-01,14.006890535354614,14.006890535354614,14336,-489.2228260869574,45115,a9b21437e7334a98a7a8412aedf56ff3,92,7.762,10.142.78.137,3300.998
1339,171937.699,False,363.69999999999663,73.90425531914893,0.4735987985631184,0.6888080975615126,0.9099801951927782,405.779,1346.1,46454,zack-XPS-15-9560,46454,0.001,46454,1576698662,35,2,0.39798521995544434,35,-1059.0999999999985,2019-12-18_11-51-02,14.404875755310059,14.404875755310059,14336,-492.75212765957536,46454,a9b21437e7334a98a7a8412aedf56ff3,94,7.829,10.142.78.137,3317.324
1329,171870.885,False,364.7999999999969,73.90721649484536,0.47342670920761476,0.6870779524529514,0.9097636049372239,405.144,1344.7,47783,zack-XPS-15-9560,47783,0.001,47783,1576698662,36,3,0.3951914310455322,36,-1059.0999999999985,2019-12-18_11-51-02,14.80006718635559,14.80006718635559,14336,-483.0051546391762,47783,a9b21437e7334a98a7a8412aedf56ff3,97,7.824,10.142.78.137,3319.067
1392,171656.275,False,364.7999999999969,73.79,0.47328895053458103,0.6854286516168406,0.9096071931037542,405.09,1347.4,49175,zack-XPS-15-9560,49175,0.001,49175,1576698663,37,3,0.42206811904907227,37,-1059.0999999999985,2019-12-18_11-51-03,15.222135305404663,15.222135305404663,14336,-485.96500000000094,49175,a9b21437e7334a98a7a8412aedf56ff3,100,7.849,10.142.78.137,3326.177
1284,171361.816,False,364.7999999999969,73.79,0.4708212705894721,0.6698026782536803,0.9045804881447136,404.785,1335.7,50459,zack-XPS-15-9560,50459,0.001,50459,1576698663,38,3,0.4089226722717285,38,-1059.0999999999985,2019-12-18_11-51-03,15.631057977676392,15.631057977676392,14336,-490.116000000001,50459,a9b21437e7334a98a7a8412aedf56ff3,103,7.795,10.142.78.137,3299.773
1313,174427.848,False,364.7999999999969,73.79,0.46987247647925107,0.6637190870744084,0.9027081172638123,403.575,1354.5,51772,zack-XPS-15-9560,51772,0.001,51772,1576698663,39,2,0.3898277282714844,39,-1059.0999999999985,2019-12-18_11-51-03,16.020885705947876,16.020885705947876,14336,-480.051000000001,51772,a9b21437e7334a98a7a8412aedf56ff3,105,7.765,10.142.78.137,3356.254
1274,173732.32,False,364.7999999999969,73.92,0.4691838685166212,0.6579589547128128,0.9019901587733804,397.412,1342.6,53046,zack-XPS-15-9560,53046,0.001,53046,1576698664,40,3,0.4078540802001953,40,-1059.0999999999985,2019-12-18_11-51-04,16.42873978614807,16.42873978614807,14336,-486.30200000000104,53046,a9b21437e7334a98a7a8412aedf56ff3,108,7.728,10.142.78.137,3378.36
1381,174123.537,False,364.7999999999969,73.87,0.4684573497015267,0.6535046629060299,0.901298737080507,399.108,1346.3,54427,zack-XPS-15-9560,54427,0.001,54427,1576698664,41,3,0.40917420387268066,41,-1059.0999999999985,2019-12-18_11-51-04,16.837913990020752,16.837913990020752,14336,-482.2300000000011,54427,a9b21437e7334a98a7a8412aedf56ff3,111,7.732,10.142.78.137,3373.273
1263,174676.054,False,364.7999999999969,73.79,0.46822590279602233,0.6501689777043658,0.9012854159381877,395.952,1327.7,55690,zack-XPS-15-9560,55690,0.001,55690,1576698665,42,3,0.3822634220123291,42,-1059.0999999999985,2019-12-18_11-51-05,17.22017741203308,17.22017741203308,14336,-482.3220000000011,55690,a9b21437e7334a98a7a8412aedf56ff3,114,7.601,10.142.78.137,3353.186
1162,176183.264,False,364.7999999999969,73.62,0.4680961286175016,0.6482213851087039,0.9013224782820578,392.438,1307.9,56852,zack-XPS-15-9560,56852,0.001,56852,1576698665,43,2,0.3725295066833496,43,-1059.0999999999985,2019-12-18_11-51-05,17.59270691871643,17.59270691871643,14336,-476.1650000000011,56852,a9b21437e7334a98a7a8412aedf56ff3,116,7.424,10.142.78.137,3332.757
1407,175561.849,False,364.7999999999969,73.61,0.4679143390618827,0.6458073523621557,0.9013681118449933,392.024,1314.4,58259,zack-XPS-15-9560,58259,0.001,58259,1576698665,44,3,0.4157102108001709,44,-1059.0999999999985,2019-12-18_11-51-05,18.0084171295166,18.0084171295166,14336,-472.0840000000011,58259,a9b21437e7334a98a7a8412aedf56ff3,119,7.487,10.142.78.137,3352.853
1219,175552.884,False,364.7999999999969,73.61,0.4678278945268958,0.6438403003699146,0.9014027014857546,391.191,1302.4,59478,zack-XPS-15-9560,59478,0.001,59478,1576698666,45,3,0.3890087604522705,45,-1059.0999999999985,2019-12-18_11-51-06,18.397425889968872,18.397425889968872,14336,-465.8980000000011,59478,a9b21437e7334a98a7a8412aedf56ff3,122,7.419,10.142.78.137,3329.32
1066,176631.268,False,364.7999999999969,73.79,0.467796443876086,0.6426746429959596,0.9014880804931308,385.951,1276.1,60544,zack-XPS-15-9560,60544,0.001,60544,1576698666,46,2,0.34085774421691895,46,-1059.0999999999985,2019-12-18_11-51-06,18.73828363418579,18.73828363418579,14336,-470.0390000000012,60544,a9b21437e7334a98a7a8412aedf56ff3,124,7.225,10.142.78.137,3306.377
1232,175536.382,False,364.7999999999969,74.08,0.4675709849938364,0.6409042796290509,0.9011330201157872,382.144,1260.1,61776,zack-XPS-15-9560,61776,0.001,61776,1576698666,47,3,0.38353657722473145,47,-1059.0999999999985,2019-12-18_11-51-06,19.121820211410522,19.121820211410522,14336,-453.8250000000013,61776,a9b21437e7334a98a7a8412aedf56ff3,127,7.179,10.142.78.137,3297.45
1171,176207.783,False,364.7999999999969,74.12,0.46737552462101706,0.6398745145000242,0.9008043512346646,378.951,1248.8,62947,zack-XPS-15-9560,62947,0.001,62947,1576698667,48,2,0.37607645988464355,48,-1059.0999999999985,2019-12-18_11-51-07,19.497896671295166,19.497896671295166,14336,-447.6700000000014,62947,a9b21437e7334a98a7a8412aedf56ff3,129,7.087,10.142.78.137,3295.416
1412,177417.278,False,364.7999999999969,74.37,0.4671244931513305,0.6384293930818086,0.9003305378159923,381.097,1258.7,64359,zack-XPS-15-9560,64359,0.001,64359,1576698667,49,3,0.41141366958618164,49,-1059.0999999999985,2019-12-18_11-51-07,19.909310340881348,19.909310340881348,14336,-447.73200000000134,64359,a9b21437e7334a98a7a8412aedf56ff3,132,7.095,10.142.78.137,3302.838
1371,178686.64,False,364.7999999999969,74.32,0.46695121873122725,0.637185169758019,0.8999940228720691,381.194,1268.4,65730,zack-XPS-15-9560,65730,0.001,65730,1576698668,50,3,0.4088783264160156,50,-1059.0999999999985,2019-12-18_11-51-08,20.318188667297363,20.318188667297363,14336,-451.8470000000015,65730,a9b21437e7334a98a7a8412aedf56ff3,135,7.098,10.142.78.137,3327.437
1339,178678.292,False,364.7999999999969,74.23,0.4668422764374003,0.6364223355882251,0.8998190894008685,379.997,1264.2,67069,zack-XPS-15-9560,67069,0.001,67069,1576698668,51,2,0.39696288108825684,51,-1059.0999999999985,2019-12-18_11-51-08,20.71515154838562,20.71515154838562,14336,-451.87100000000146,67069,a9b21437e7334a98a7a8412aedf56ff3,137,7.075,10.142.78.137,3326.868
1274,178607.463,False,364.7999999999969,74.35,0.4667019526227128,0.6353563553931422,0.8996357255855324,381.445,1265.3,68343,zack-XPS-15-9560,68343,0.001,68343,1576698668,52,3,0.3968379497528076,52,-1059.0999999999985,2019-12-18_11-51-08,21.111989498138428,21.111989498138428,14336,-449.81100000000134,68343,a9b21437e7334a98a7a8412aedf56ff3,140,7.084,10.142.78.137,3317.119
1361,178546.641,False,364.7999999999969,74.22,0.46660514468642383,0.6344058551258983,0.899520110009821,384.761,1285.2,69704,zack-XPS-15-9560,69704,0.001,69704,1576698669,53,3,0.40682077407836914,53,-1059.0999999999985,2019-12-18_11-51-09,21.518810272216797,21.518810272216797,14336,-453.8540000000014,69704,a9b21437e7334a98a7a8412aedf56ff3,143,7.198,10.142.78.137,3340.258
1300,179168.665,False,364.7999999999969,74.15,0.46652377627015057,0.6336024135889149,0.899405077832069,383.524,1274.5,71004,zack-XPS-15-9560,71004,0.001,71004,1576698669,54,3,0.40248870849609375,54,-1059.0999999999985,2019-12-18_11-51-09,21.92129898071289,21.92129898071289,14336,-449.7530000000013,71004,a9b21437e7334a98a7a8412aedf56ff3,146,7.113,10.142.78.137,3323.127
1226,175863.653,False,364.7999999999969,74.08,0.46647570001956884,0.6330922658478965,0.8993018303607901,384.325,1275.2,72230,zack-XPS-15-9560,72230,0.001,72230,1576698670,55,2,0.39845824241638184,55,-1059.0999999999985,2019-12-18_11-51-10,22.319757223129272,22.319757223129272,14336,-443.58200000000136,72230,a9b21437e7334a98a7a8412aedf56ff3,148,7.251,10.142.78.137,3318.025
