episodes_total,experiment_id,info/sample_peak_throughput,episode_reward_mean,timesteps_this_iter,timesteps_total,time_since_restore,done,info/sample_time_ms,info/grad_time_ms,info/update_time_ms,timesteps_since_restore,info/num_steps_sampled,timestamp,sampler_perf/mean_env_wait_ms,episode_len_mean,info/num_steps_trained,episode_reward_max,info/opt_peak_throughput,time_total_s,iterations_since_restore,episode_reward_min,info/opt_samples,sampler_perf/mean_processing_ms,episodes_this_iter,node_ip,date,sampler_perf/mean_inference_ms,hostname,training_iteration,pid,time_this_iter_s
95,db15454e139b45a4977ecbeb588ffe50,3452.367,-271.0536842105263,913,28342,8.737094402313232,False,244.615,4.791,0.001,28342,28342,1576686993,0.399051970786332,71.01052631578948,28342,382.09999999999894,176252.306,8.737094402313232,34,-641.5000000000005,844.5,0.3094096422626047,2,10.142.78.137,2019-12-18_08-36-33,0.6099576751455574,zack-XPS-15-9560,34,30967,0.2530698776245117
98,db15454e139b45a4977ecbeb588ffe50,3466.127,-273.923469387755,896,29238,8.994406700134277,False,245.663,4.853,0.001,29238,29238,1576686993,0.39871240139375336,71.0204081632653,29238,382.09999999999894,175450.354,8.994406700134277,35,-641.5000000000005,851.5,0.30908011236147964,3,10.142.78.137,2019-12-18_08-36-33,0.6084842609568091,zack-XPS-15-9560,35,30967,0.2573122978210449
101,db15454e139b45a4977ecbeb588ffe50,3413.077,-268.978,767,30005,9.244683980941772,False,244.852,4.78,0.001,30005,30005,1576686993,0.39684850079526446,71.13,30005,382.09999999999894,174825.426,9.244683980941772,36,-641.5000000000005,835.7,0.3073271024043498,3,10.142.78.137,2019-12-18_08-36-33,0.6020235874789663,zack-XPS-15-9560,36,30967,0.2502772808074951
104,db15454e139b45a4977ecbeb588ffe50,3381.651,-273.073,836,30841,9.508874893188477,False,246.448,4.793,0.001,30841,30841,1576686994,0.39343638442106055,71.05,30841,382.09999999999894,173864.727,9.508874893188477,37,-641.5000000000005,833.4,0.30423197277781516,3,10.142.78.137,2019-12-18_08-36-34,0.5911098547793227,zack-XPS-15-9560,37,30967,0.2641909122467041
106,db15454e139b45a4977ecbeb588ffe50,3389.114,-267.009,936,31777,9.7788724899292,False,247.882,4.87,0.001,31777,31777,1576686994,0.3919816114997892,70.92,31777,382.09999999999894,172516.624,9.7788724899292,38,-641.5000000000005,840.1,0.3029519479369084,2,10.142.78.137,2019-12-18_08-36-34,0.5866247224515648,zack-XPS-15-9560,38,30967,0.26999759674072266
110,db15454e139b45a4977ecbeb588ffe50,3383.256,-271.013,981,32758,10.063122272491455,False,251.178,5.029,0.001,32758,32758,1576686994,0.39019464970461454,70.54,32758,382.09999999999894,168970.743,10.063122272491455,39,-641.5000000000005,849.8,0.3013625907330433,4,10.142.78.137,2019-12-18_08-36-34,0.5806011640095313,zack-XPS-15-9560,39,30967,0.28424978256225586
113,db15454e139b45a4977ecbeb588ffe50,3379.172,-281.2369999999999,824,33582,10.324427604675293,False,253.139,5.043,0.001,33582,33582,1576686994,0.3895226183526934,70.68,33582,179.09999999999866,169631.483,10.324427604675293,40,-641.5000000000005,855.4,0.30069150340088036,3,10.142.78.137,2019-12-18_08-36-34,0.5775586610710068,zack-XPS-15-9560,40,30967,0.2613053321838379
115,db15454e139b45a4977ecbeb588ffe50,3368.1,-273.0779999999999,758,34340,10.581489562988281,False,253.912,5.022,0.001,34340,34340,1576686995,0.389277140739808,70.69,34340,179.09999999999866,170294.72,10.581489562988281,41,-641.5000000000005,855.2,0.3004011983132936,2,10.142.78.137,2019-12-18_08-36-35,0.5759088385991948,zack-XPS-15-9560,41,30967,0.2570619583129883
118,db15454e139b45a4977ecbeb588ffe50,3393.182,-277.2899999999999,891,35231,10.835073709487915,False,253.508,5.062,0.001,35231,35231,1576686995,0.38913427152945856,70.71,35231,179.09999999999866,169936.57,10.835073709487915,42,-641.5000000000005,860.2,0.3001768226222492,3,10.142.78.137,2019-12-18_08-36-35,0.573965105967481,zack-XPS-15-9560,42,30967,0.2535841464996338
121,db15454e139b45a4977ecbeb588ffe50,3398.394,-273.45999999999987,906,36137,11.103675127029419,False,256.239,5.125,0.001,36137,36137,1576686995,0.38918917266351527,70.66,36137,179.09999999999866,169903.564,11.103675127029419,43,-641.5000000000005,870.8,0.3001075968943724,3,10.142.78.137,2019-12-18_08-36-35,0.5724383967030566,zack-XPS-15-9560,43,30967,0.2686014175415039
